posterior,step,metric,value
ddpm,50,PSNR,26.226890563964844
ddpm,50,SSIM,0.7499100565910339
ddpm,50,MSE,0.0025595996994525194
ddpm,50,LPIPS,0.14522846043109894
ddpm,50,time,1.284735918045044
ddpm,100,PSNR,26.136070251464844
ddpm,100,SSIM,0.7477800250053406
ddpm,100,MSE,0.0026131588965654373
ddpm,100,LPIPS,0.14573881030082703
ddpm,100,time,2.4509434700012207
ddpm,200,PSNR,26.0545711517334
ddpm,200,SSIM,0.7461838126182556
ddpm,200,MSE,0.0026613532099872828
ddpm,200,LPIPS,0.14650854468345642
ddpm,200,time,5.441179275512695
ddim,50,PSNR,26.235780715942383
ddim,50,SSIM,0.7482151389122009
ddim,50,MSE,0.0025550604332238436
ddim,50,LPIPS,0.14533746242523193
ddim,50,time,1.5156221389770508
ddim,100,PSNR,26.204906463623047
ddim,100,SSIM,0.7476674318313599
ddim,100,MSE,0.0025736666284501553
ddim,100,LPIPS,0.14521417021751404
ddim,100,time,2.488074541091919
ddim,200,PSNR,26.176315307617188
ddim,200,SSIM,0.7473899722099304
ddim,200,MSE,0.0025895042344927788
ddim,200,LPIPS,0.14516814053058624
ddim,200,time,4.728979110717773
