posterior,step,metric,value
ddpm,50,PSNR,25.501375198364258
ddpm,50,SSIM,0.7257431745529175
ddpm,50,MSE,0.003008653875440359
ddpm,50,LPIPS,0.18744683265686035
ddpm,50,time,1.7888352870941162
ddpm,100,PSNR,25.335264205932617
ddpm,100,SSIM,0.7219610810279846
ddpm,100,MSE,0.003124584211036563
ddpm,100,LPIPS,0.18992356956005096
ddpm,100,time,3.996453046798706
ddpm,200,PSNR,25.181163787841797
ddpm,200,SSIM,0.7186358571052551
ddpm,200,MSE,0.0032336136791855097
ddpm,200,LPIPS,0.19295912981033325
ddpm,200,time,12.725207328796387
ddim,50,PSNR,25.590898513793945
ddim,50,SSIM,0.7261545062065125
ddim,50,MSE,0.0029461451340466738
ddim,50,LPIPS,0.18638531863689423
ddim,50,time,1.4276149272918701
ddim,100,PSNR,25.52848243713379
ddim,100,SSIM,0.725212574005127
ddim,100,MSE,0.0029884420800954103
ddim,100,LPIPS,0.18647505342960358
ddim,100,time,2.713512897491455
ddim,200,PSNR,25.467041015625
ddim,200,SSIM,0.7242575287818909
ddim,200,MSE,0.003029934596270323
ddim,200,LPIPS,0.1871107965707779
ddim,200,time,5.346746444702148
